Date,Flows_(Amt)_Open_ended_(Existing)_T,Flows_(Amt)_Open_ended_(Existing)_T_1,Flows_(Amt)_Open_ended_(Existing)_T_2,Flows_(Amt)_Open_ended_(Existing)_T_3,Benchmark_Returns_T,Benchmark_Returns_T_1,Benchmark_Returns_T_2,Benchmark_Returns_T_3,No_of_funds_closed_ended_(New) ,Flows_in_Open_Ended_(Amt)
Mar-19,22966,13228,14411,15183,7.802955596,-0.61819615,-1.755661299,0.771986971,7,1050
Feb-19,13228,14411,15183,13234,-0.61819615,-1.755661299,0.771986971,3.942525813,7,490
Jan-19,14411,15183,13234,18663,-1.755661299,0.771986971,3.942525813,-3.905470691,1,1309
Dec-18,15183,13234,18663,18045,0.771986971,3.942525813,-3.905470691,-8.836882028,6,409
Nov-18,13234,18663,18045,19075,3.942525813,-3.905470691,-8.836882028,3.4697786,5,1172
Oct-18,18663,18045,19075,16997,-3.905470691,-8.836882028,3.4697786,5.411899613,4,2609
Sep-18,18045,19075,16997,17474,-8.836882028,3.4697786,5.411899613,-1.606088168,5,2822
Aug-18,19075,16997,17474,20870,3.4697786,5.411899613,-1.606088168,-1.874302636,5,2845
Jul-18,16997,17474,20870,18741,5.411899613,-1.606088168,-1.874302636,6.52860459,3,1409
Jun-18,17474,20870,18741,37203,-1.606088168,-1.874302636,6.52860459,-3.714668017,3,671
May-18,20870,18741,37203,30302,-1.874302636,6.52860459,-3.714668017,-4.409276226,0,0
Apr-18,18741,37203,30302,41784,6.52860459,-3.714668017,-4.409276226,2.295982131,1,226
Mar-18,37203,30302,41784,32681,-3.714668017,-4.409276226,2.295982131,3.512934692,0,-
Feb-18,30302,41784,32681,34598,-4.409276226,2.295982131,3.512934692,0.055296409,0,-
Jan-18,41784,32681,34598,27571,2.295982131,3.512934692,0.055296409,6.427810473,2,529
Dec-17,32681,34598,27571,32290,3.512934692,0.055296409,6.427810473,-1.100338392,1,515
Nov-17,34598,27571,32290,28233,0.055296409,6.427810473,-1.100338392,-0.972136174,2,2488
Oct-17,27571,32290,28233,25170,6.427810473,-1.100338392,-0.972136174,5.454207437,2,334
Sep-17,32290,28233,25170,23290,-1.100338392,-0.972136174,5.454207437,-0.156828281,1,14
Aug-17,28233,25170,23290,20713,-0.972136174,5.454207437,-0.156828281,1.694321085,1,2089
Jul-17,25170,23290,20713,18386,5.454207437,-0.156828281,1.694321085,2.749705112,0,-
Jun-17,23290,20713,18386,25624,-0.156828281,1.694321085,2.749705112,3.736157248,1,225
